resnet18
[1,63,loss=2.833011908456683]
[1,95,loss=3.852163875475526]
[1,准确率=66.00750938673342%,2637/3995][2,31,loss=0.6897153463214636]
[2,63,loss=1.4278974710032344]
[2,95,loss=2.1005378179252148]
[2,准确率=80.0250312891114%,3197/3995][3,31,loss=0.5047036204487085]
[3,63,loss=0.9968865509144962]
[3,95,loss=1.4117032941430807]
[3,准确率=86.18272841051315%,3443/3995][4,31,loss=0.3382431245408952]
[4,63,loss=0.684733098372817]
[4,95,loss=1.1039096943568438]
[4,准确率=87.50938673341678%,3496/3995][5,31,loss=0.3041699770838022]
[5,63,loss=0.5886822517495602]
[5,95,loss=0.8886976854410022]
[5,准确率=90.63829787234042%,3621/3995][6,31,loss=0.2932638549245894]
[6,63,loss=0.5820655993884429]
[6,95,loss=0.8644928495632485]
[6,准确率=90.81351689612015%,3628/3995][7,31,loss=0.21042294125072658]
[7,63,loss=0.36830368608934805]
[7,95,loss=0.5358809193712659]
[7,准确率=94.24280350438048%,3765/3995][8,31,loss=0.16136870597256348]
[8,63,loss=0.39538992958841845]
[8,95,loss=0.5759864764404483]
[8,准确率=93.99249061326658%,3755/3995][9,31,loss=0.1378269485430792]
[9,63,loss=0.3604517562780529]
[9,95,loss=0.6145932965446264]
[9,准确率=93.46683354192741%,3734/3995][10,31,loss=0.22023588954471052]
[10,63,loss=0.4825056428089738]
[10,95,loss=0.7527179673779756]
[10,准确率=92.34042553191489%,3689/3995][11,31,loss=0.2018100543646142]
[11,63,loss=0.3634877613512799]
[11,95,loss=0.5264866778161377]
[11,准确率=94.49311639549437%,3775/3995][12,31,loss=0.09549482268630527]
[12,63,loss=0.2229577330435859]
[12,95,loss=0.3392958742042538]
[12,准确率=96.09511889862328%,3839/3995][13,31,loss=0.13979121093871072]
[13,63,loss=0.30121617286931723]
[13,95,loss=0.4746989358100109]
[13,准确率=94.94367959949938%,3793/3995][14,31,loss=0.13194768101675436]
[14,63,loss=0.28378162952139974]
[14,95,loss=0.41939347924198955]
[14,准确率=95.5694618272841%,3818/3995][15,31,loss=0.1455521546304226]
[15,63,loss=0.28978268924402073]
[15,95,loss=0.44529298340785317]
[15,准确率=94.86858573216522%,3790/3995][16,31,loss=0.15606311918236315]
[16,63,loss=0.2608364656625781]
[16,95,loss=0.39252318553917576]
[16,准确率=96.07008760951189%,3838/3995][17,31,loss=0.11007709879777394]
[17,63,loss=0.22876159675070085]
[17,95,loss=0.3258419335761573]
[17,准确率=96.12015018773467%,3840/3995][18,31,loss=0.11515443879761733]
[18,63,loss=0.20284821488894522]
[18,95,loss=0.30624633916886523]
[18,准确率=96.69586983729663%,3863/3995][19,31,loss=0.16141390008851886]
[19,63,loss=0.33517822105204687]
[19,95,loss=0.5962837845436297]
[19,准确率=93.09136420525657%,3719/3995][20,31,loss=0.20288544113282114]
[20,63,loss=0.38102625677129254]
[20,95,loss=0.5070570327807218]
[20,准确率=95.04380475594493%,3797/3995]
resnet50
[1,31,loss=2.6532464921474457]
[1,63,loss=4.828831274062395]
[1,95,loss=6.67376859113574]
[1,准确率=39.849812265331664%,1592/3995][2,31,loss=1.3292585834860802]
[2,63,loss=2.6500630881637335]
[2,95,loss=3.8078755382448435]
[2,准确率=62.52816020025031%,2498/3995][3,31,loss=1.0517010781913996]
[3,63,loss=2.0007934477180243]
[3,95,loss=2.8823328763246536]
[3,准确率=70.51314142678348%,2817/3995][4,31,loss=0.7704303488135338]
[4,63,loss=1.4231750550679862]
[4,95,loss=2.130856780335307]
[4,准确率=77.42177722152691%,3093/3995][5,31,loss=0.6904319981113076]
[5,63,loss=1.304060174152255]
[5,95,loss=1.8905592756345868]
[5,准确率=80.45056320400501%,3214/3995][6,31,loss=0.5581809561699629]
[6,63,loss=1.044511036016047]
[6,95,loss=1.5326074855402112]
[6,准确率=83.55444305381727%,3338/3995][7,31,loss=0.4493920267559588]
[7,63,loss=0.9266399568878114]
[7,95,loss=1.3490880159661174]
[7,准确率=84.98122653316645%,3395/3995][8,31,loss=0.404578150017187]
[8,63,loss=0.8283157027326524]
[8,95,loss=1.196986312046647]
[8,准确率=86.7334167709637%,3465/3995][9,31,loss=0.353802009136416]
[9,63,loss=0.673259335453622]
[9,95,loss=1.0595563623355702]
[9,准确率=89.23654568210263%,3565/3995][10,31,loss=0.36098606139421463]
[10,63,loss=0.6683886609971523]
[10,95,loss=1.0351581708528101]
[10,准确率=88.53566958698373%,3537/3995][11,31,loss=0.30764857353642583]
[11,63,loss=0.6295932531356812]
[11,95,loss=0.9322014721110463]
[11,准确率=90.11264080100125%,3600/3995][12,31,loss=0.2510004583164118]
[12,63,loss=0.5121449042926542]
[12,95,loss=0.8144533389131539]
[12,准确率=91.06382978723404%,3638/3995][13,31,loss=0.2586220421362668]
[13,63,loss=0.5538261805195361]
[13,95,loss=0.8003312195651233]
[13,准确率=91.53942428035043%,3657/3995][14,31,loss=0.21829144330695271]
[14,63,loss=0.4764563038479537]
[14,95,loss=0.678655739990063]
[14,准确率=92.51564455569462%,3696/3995][15,31,loss=0.18282008997630328]
[15,63,loss=0.4096139791654423]
[15,95,loss=0.714142587268725]
[15,准确率=92.06508135168961%,3678/3995][16,31,loss=0.24814124580007046]
[16,63,loss=0.46102458285167813]
[16,95,loss=0.693202139576897]
[16,准确率=92.69086357947435%,3703/3995][17,31,loss=0.19310623448109254]
[17,63,loss=0.4029234476038255]
[17,95,loss=0.622093724028673]
[17,准确率=92.34042553191489%,3689/3995][18,31,loss=0.2640442175907083]
[18,63,loss=0.5184489733655937]
